rank,sequence,airport_A,airport_B,cascade_probability,risk_level
13147,FCA → DFW → OMA,FCA,OMA,0.1036,NORMAL
13148,SJU → DFW → HNL,SJU,HNL,0.1036,NORMAL
13149,MSY → DFW → BFL,MSY,BFL,0.1036,NORMAL
13150,ANC → DFW → HDN,ANC,HDN,0.1035,NORMAL
13151,PBI → DFW → OMA,PBI,OMA,0.1035,NORMAL
13152,JAX → DFW → HSV,JAX,HSV,0.1035,NORMAL
13153,ONT → DFW → SAN,ONT,SAN,0.1035,NORMAL
13154,STS → DFW → TUS,STS,TUS,0.1035,NORMAL
13155,GUC → DFW → PHL,GUC,PHL,0.1035,NORMAL
13156,LBB → DFW → BNA,LBB,BNA,0.1034,NORMAL
13157,COS → DFW → MRY,COS,MRY,0.1034,NORMAL
13158,HNL → DFW → HSV,HNL,HSV,0.1034,NORMAL
13159,IND → DFW → AVL,IND,AVL,0.1034,NORMAL
13160,DEN → DFW → ILM,DEN,ILM,0.1033,NORMAL
13161,PIT → DFW → DEN,PIT,DEN,0.1033,NORMAL
13162,SEA → DFW → AVL,SEA,AVL,0.1033,NORMAL
13163,ALB → DFW → OGG,ALB,OGG,0.1033,NORMAL
13164,BZN → DFW → RDM,BZN,RDM,0.1033,NORMAL
13165,COS → DFW → SMF,COS,SMF,0.1032,NORMAL
13166,AMA → DFW → COS,AMA,COS,0.1032,NORMAL
13167,STS → DFW → COS,STS,COS,0.1031,NORMAL
13168,MDT → DFW → TYS,MDT,TYS,0.1031,NORMAL
13169,GUC → DFW → SNA,GUC,SNA,0.1031,NORMAL
13170,IND → DFW → GRR,IND,GRR,0.1031,NORMAL
13171,GEG → DFW → PBI,GEG,PBI,0.103,NORMAL
13172,FSD → DFW → CMH,FSD,CMH,0.103,NORMAL
13173,ICT → DFW → BDL,ICT,BDL,0.103,NORMAL
13174,COS → DFW → AGS,COS,AGS,0.103,NORMAL
13175,SMF → DFW → GSP,SMF,GSP,0.103,NORMAL
13176,IAH → DFW → HSV,IAH,HSV,0.103,NORMAL
13177,ONT → DFW → FSD,ONT,FSD,0.103,NORMAL
13178,COS → DFW → SRQ,COS,SRQ,0.103,NORMAL
13179,SAN → DFW → PNS,SAN,PNS,0.1029,NORMAL
13180,LBB → DFW → HSV,LBB,HSV,0.1029,NORMAL
13181,RSW → DFW → TYS,RSW,TYS,0.1029,NORMAL
13182,JAX → DFW → PNS,JAX,PNS,0.1029,NORMAL
13183,TYS → DFW → CMH,TYS,CMH,0.1029,NORMAL
13184,SAT → DFW → PIT,SAT,PIT,0.1029,NORMAL
13185,BFL → DFW → STS,BFL,STS,0.1029,NORMAL
13186,ATL → DFW → AVL,ATL,AVL,0.1029,NORMAL
13187,GEG → DFW → SBA,GEG,SBA,0.1028,NORMAL
13188,BDL → DFW → MTJ,BDL,MTJ,0.1028,NORMAL
13189,IND → DFW → AGS,IND,AGS,0.1028,NORMAL
13190,GUC → DFW → STS,GUC,STS,0.1027,NORMAL
13191,RSW → DFW → SAN,RSW,SAN,0.1027,NORMAL
13192,SJC → DFW → AUS,SJC,AUS,0.1027,NORMAL
13193,MCO → DFW → FCA,MCO,FCA,0.1027,NORMAL
13194,SJC → DFW → BHM,SJC,BHM,0.1027,NORMAL
13195,RDU → DFW → ONT,RDU,ONT,0.1027,NORMAL
13196,DCA → DFW → GSO,DCA,GSO,0.1026,NORMAL
13197,MSY → DFW → EGE,MSY,EGE,0.1026,NORMAL
13198,BOS → DFW → GSO,BOS,GSO,0.1026,NORMAL
13199,PDX → DFW → HDN,PDX,HDN,0.1025,NORMAL
13200,BOS → DFW → TUS,BOS,TUS,0.1025,NORMAL
13201,BFL → DFW → JAC,BFL,JAC,0.1025,NORMAL
