airport,datetime,visibility,wind_speed,storm,ifr,severity,bad_weather
TTPP,2026-04-16T17:00:00.000Z,3.73,14.0,0,0,0,0
GMAD,2026-04-16T17:00:00.000Z,4.97,9.0,0,0,0,0
GMME,2026-04-16T17:00:00.000Z,3.11,5.0,0,0,0,0
SAZY,2026-04-16T17:00:00.000Z,4.97,11.0,1,0,2,1
VORY,2026-04-16T17:00:00.000Z,3.73,6.0,0,0,0,0
OEDM,2026-04-16T17:00:00.000Z,4.97,13.0,0,0,0,0
OEJN,2026-04-16T17:00:00.000Z,4.97,15.0,0,0,0,0
VOMD,2026-04-16T17:00:00.000Z,3.73,4.0,0,0,0,0
VEGT,2026-04-16T17:00:00.000Z,1.86,4.0,0,1,1,0
VERP,2026-04-16T17:00:00.000Z,2.49,5.0,0,1,1,0
VAAH,2026-04-16T17:00:00.000Z,2.49,10.0,0,1,1,0
VOGA,2026-04-16T17:00:00.000Z,3.11,5.0,0,0,0,0
VERC,2026-04-16T17:00:00.000Z,1.86,0.0,0,1,1,0
VIDP,2026-04-16T17:00:00.000Z,2.49,5.0,0,1,1,0
UMGG,2026-04-16T17:00:00.000Z,4.35,10.0,0,0,0,0
VOBL,2026-04-16T17:00:00.000Z,3.73,6.0,0,0,0,0
VABO,2026-04-16T17:00:00.000Z,2.49,9.0,0,1,1,0
UMOO,2026-04-16T17:00:00.000Z,4.35,4.0,0,0,0,0
CYBB,2026-04-16T17:00:00.000Z,15.0,15.0,0,0,0,0
CYCB,2026-04-16T17:00:00.000Z,15.0,7.0,0,0,0,0
CYCO,2026-04-16T17:00:00.000Z,15.0,4.0,0,0,0,0
CYCS,2026-04-16T17:00:00.000Z,15.0,18.0,0,0,0,0
CYFS,2026-04-16T17:00:00.000Z,2.0,16.0,1,1,3,1
CYHK,2026-04-16T17:00:00.000Z,15.0,5.0,0,0,0,0
CYHY,2026-04-16T17:00:00.000Z,15.0,9.0,0,0,0,0
CYJF,2026-04-16T17:00:00.000Z,15.0,14.0,0,0,0,0
CYLC,2026-04-16T17:00:00.000Z,15.0,12.0,0,0,0,0
CYPC,2026-04-16T17:00:00.000Z,15.0,0.0,0,0,0,0
CYRA,2026-04-16T17:00:00.000Z,15.0,5.0,0,0,0,0
CYRT,2026-04-16T17:00:00.000Z,15.0,14.0,0,0,0,0
CYUT,2026-04-16T17:00:00.000Z,0.75,19.0,1,1,3,1
CYWE,2026-04-16T17:00:00.000Z,9.0,9.0,0,0,0,0
CYWJ,2026-04-16T17:00:00.000Z,30.0,5.0,0,0,0,0
